Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"2,514,861,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,59,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"649,622,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,18,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, CHEDDAR - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"344,081,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, CHEDDAR - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,18,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, COLBY & JACK & MONTEREY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"305,541,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, COLBY & JACK & MONTEREY - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,12,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, HISPANIC - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"125,057,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, HISPANIC - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,13,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, ITALIAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,632,080,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, ITALIAN - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,28,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, ITALIAN, SOFT, MOZZARELLA - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"1,491,615,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CHEESE,"CHEESE, ITALIAN, SOFT, MOZZARELLA - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,24,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"954,987,000",
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,9,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"604,710,000",
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE, AMERICAN - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,5,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, CHEDDAR - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"479,778,000",
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, CHEDDAR - PRODUCTION, MEASURED IN PLANTS",TOTAL,NOT SPECIFIED,5,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,CHEESE,"CHEESE, AMERICAN, COLBY & JACK & MONTEREY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"124,932,000",
